paper_id,title,conference,path,accept_reject,accept_type,weighted_mean_overall,score_z_within_venue,score_z_1_10_clipped,score_percentile_within_venue,score_percentile_1_10,normalization_pool_n,decision,venue,dataset,slug
ga9PAnFsAt,Embedding-Converter: A Unified Framework for Cross-Model Embedding Transformation,iclr2025,iclr-2025-dataset/papers-anonymized/embedding-converter-a-unified-framework-for-cross-model-embe_anon.pdf,reject,Reject,4.875,-0.5025,4.3693,0.2937,3.6433,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,embedding-converter-a-unified-framework-for-cross-model-embe
XFYUwIyTxQ,EmbodiedSAM: Online Segment Any 3D Thing in Real Time,iclr2025,iclr-2025-dataset/papers-anonymized/embodiedsam-online-segment-any-3d-thing-in-real-time_anon.pdf,accept,Accept (Oral),7.619,1.7943,9.5372,0.9799,9.819,8726,Accept (Oral),ICLR 2025 Oral,iclr-2025-dataset,embodiedsam-online-segment-any-3d-thing-in-real-time
1EnpStvBU8,Feast Your Eyes:  Mixture-of-Resolution Adaptation for Multimodal Large Language Models,iclr2025,iclr-2025-dataset/papers-anonymized/feast-your-eyes-mixture-of-resolution-adaptation-for-multimo_anon.pdf,accept,Accept (Poster),5.8,0.2717,6.1114,0.5842,6.2577,8726,Accept (Poster),ICLR 2025 Poster,iclr-2025-dataset,feast-your-eyes-mixture-of-resolution-adaptation-for-multimo
Oqqbnn1snA,FedGraph: A New Paradigm for Federated Graph Learning,iclr2025,iclr-2025-dataset/papers-anonymized/fedgraph-a-new-paradigm-for-federated-graph-learning_anon.pdf,reject,Reject,3.0,-2.072,1.0,0.0272,1.2445,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,fedgraph-a-new-paradigm-for-federated-graph-learning
zPxlHOLxmh,From Counseling Transcript to Mind Map: Leveraging LLMs for Effective Summarization in Mental Health Counseling,iclr2025,iclr-2025-dataset/papers-anonymized/from-counseling-transcript-to-mind-map-leveraging-llms-for-e_anon.pdf,reject,Reject,1.9412,-2.9583,1.0,0.0028,1.0253,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,from-counseling-transcript-to-mind-map-leveraging-llms-for-e
wrXCIsysqB,GaussianBlock: Building Part-Aware Compositional and Editable 3D Scene by Primitives and Gaussians,iclr2025,iclr-2025-dataset/papers-anonymized/gaussianblock-building-part-aware-compositional-and-editable_anon.pdf,accept,Accept (Poster),5.5556,0.0672,5.6511,0.4912,5.4206,8726,Accept (Poster),ICLR 2025 Poster,iclr-2025-dataset,gaussianblock-building-part-aware-compositional-and-editable
zDC3iCBxJb,Group Ligands Docking to Protein Pockets,iclr2025,iclr-2025-dataset/papers-anonymized/group-ligands-docking-to-protein-pockets_anon.pdf,accept,Accept (Poster),6.5294,0.8823,7.4851,0.8076,8.2686,8726,Accept (Poster),ICLR 2025 Poster,iclr-2025-dataset,group-ligands-docking-to-protein-pockets
CscKx97jBi,Improve Code Generation with Feedback,iclr2025,iclr-2025-dataset/papers-anonymized/improve-code-generation-with-feedback_anon.pdf,reject,Reject,2.7647,-2.269,1.0,0.0138,1.1243,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,improve-code-generation-with-feedback
FXJm5r17Q7,In-Context Reinforcement Learning From Suboptimal Historical Data,iclr2025,iclr-2025-dataset/papers-anonymized/in-context-reinforcement-learning-from-suboptimal-historical_anon.pdf,reject,Reject,5.9286,0.3794,6.3536,0.6088,6.4789,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,in-context-reinforcement-learning-from-suboptimal-historical
esYrEndGsr,Influence Functions for Scalable Data Attribution in Diffusion Models,iclr2025,iclr-2025-dataset/papers-anonymized/influence-functions-for-scalable-data-attribution-in-diffusi_anon.pdf,accept,Accept (Oral),8.0,2.1132,10.0,0.9903,9.9123,8726,Accept (Oral),ICLR 2025 Oral,iclr-2025-dataset,influence-functions-for-scalable-data-attribution-in-diffusi
fBkdjUnymd,Martryoshka: Learning to Drive Black-Box LLMs with LLMs,iclr2025,iclr-2025-dataset/papers-anonymized/martryoshka-learning-to-drive-black-box-llms-with-llms_anon.pdf,reject,Reject,4.7333,-0.6212,4.1024,0.2628,3.3653,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,martryoshka-learning-to-drive-black-box-llms-with-llms
xE3Ra2GTpX,Multi-Grained Knowledge for Retrieval-Augmented Question Answering on Hyper-long Contexts,iclr2025,iclr-2025-dataset/papers-anonymized/multi-grained-knowledge-for-retrieval-augmented-question-ans_anon.pdf,reject,Reject,4.1333,-1.1234,2.9724,0.1436,2.2925,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,multi-grained-knowledge-for-retrieval-augmented-question-ans
xXTkbTBmqq,OLMoE: Open Mixture-of-Experts Language Models,iclr2025,iclr-2025-dataset/papers-anonymized/olmoe-open-mixture-of-experts-language-models_anon.pdf,accept,Accept (Oral),9.0,2.9503,10.0,0.9991,9.9923,8726,Accept (Oral),ICLR 2025 Oral,iclr-2025-dataset,olmoe-open-mixture-of-experts-language-models
bGkPZtisSm,On the Generalization of Preference Learning with DPO,iclr2025,iclr-2025-dataset/papers-anonymized/on-the-generalization-of-preference-learning-with-dpo_anon.pdf,reject,Reject,5.3077,-0.1404,5.1842,0.4095,4.6851,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,on-the-generalization-of-preference-learning-with-dpo
rKMz6cDE7W,One Pass Streaming Algorithm for Super Long Token Attention Approximation in Sublinear Space,iclr2025,iclr-2025-dataset/papers-anonymized/one-pass-streaming-algorithm-for-super-long-token-attention_anon.pdf,reject,Reject,2.0909,-2.833,1.0,0.0045,1.0402,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,one-pass-streaming-algorithm-for-super-long-token-attention
gpKEDj9Dgg,Optimizing Large Language Models with Automatic Speech Recognition for Medication Corpus in Low-Resource Healthcare Settings.,iclr2025,iclr-2025-dataset/papers-anonymized/optimizing-large-language-models-with-automatic-speech-recog_anon.pdf,reject,Reject,1.8889,-3.002,1.0,0.0023,1.0206,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,optimizing-large-language-models-with-automatic-speech-recog
tC1b9DBWww,Person Detection Through the Lens of Algorithmic Bias,iclr2025,iclr-2025-dataset/papers-anonymized/person-detection-through-the-lens-of-algorithmic-bias_anon.pdf,reject,Reject,2.4118,-2.5644,1.0,0.008,1.0722,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,person-detection-through-the-lens-of-algorithmic-bias
6ouZaBzeNO,Physiome-ODE: A Benchmark for Irregularly Sampled Multivariate Time-Series Forecasting Based on Biological ODEs,iclr2025,iclr-2025-dataset/papers-anonymized/physiome-ode-a-benchmark-for-irregularly-sampled-multivariat_anon.pdf,accept,Accept (Poster),3.6429,-1.5339,2.0488,0.0802,1.7215,8726,Accept (Poster),ICLR 2025 Poster,iclr-2025-dataset,physiome-ode-a-benchmark-for-irregularly-sampled-multivariat
gdHtZlaaSo,Precise Parameter Localization for Textual Generation in Diffusion Models,iclr2025,iclr-2025-dataset/papers-anonymized/precise-parameter-localization-for-textual-generation-in-dif_anon.pdf,accept,Accept (Poster),6.2632,0.6594,6.9838,0.7353,7.6177,8726,Accept (Poster),ICLR 2025 Poster,iclr-2025-dataset,precise-parameter-localization-for-textual-generation-in-dif
kxFtMHItrf,Reti-Diff: Illumination Degradation Image Restoration with Retinex-based Latent Diffusion Model,iclr2025,iclr-2025-dataset/papers-anonymized/reti-diff-illumination-degradation-image-restoration-with-re_anon.pdf,accept,Accept (Spotlight),7.5,1.6947,9.3131,0.9678,9.7101,8726,Accept (Spotlight),ICLR 2025 Spotlight,iclr-2025-dataset,reti-diff-illumination-degradation-image-restoration-with-re
473sH8qki8,Reward as Observation: Learning Reward-based Policies for Rapid Adaptation,iclr2025,iclr-2025-dataset/papers-anonymized/reward-as-observation-learning-reward-based-policies-for-rap_anon.pdf,reject,Reject,1.9412,-2.9583,1.0,0.0028,1.0253,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,reward-as-observation-learning-reward-based-policies-for-rap
6QBHdrt8nX,"SafetyAnalyst: Interpretable, transparent, and steerable LLM safety moderation",iclr2025,iclr-2025-dataset/papers-anonymized/safetyanalyst-interpretable-transparent-and-steerable-llm-sa_anon.pdf,reject,Reject,2.8,-2.2394,1.0,0.0141,1.1269,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,safetyanalyst-interpretable-transparent-and-steerable-llm-sa
Ha6RTeWMd0,SAM 2: Segment Anything in Images and Videos,iclr2025,iclr-2025-dataset/papers-anonymized/sam-2-segment-anything-in-images-and-videos_anon.pdf,accept,Accept (Oral),9.0588,2.9995,10.0,0.9995,9.9954,8726,Accept (Oral),ICLR 2025 Oral,iclr-2025-dataset,sam-2-segment-anything-in-images-and-videos
tcsZt9ZNKD,Scaling and evaluating sparse autoencoders,iclr2025,iclr-2025-dataset/papers-anonymized/scaling-and-evaluating-sparse-autoencoders_anon.pdf,accept,Accept (Oral),8.2,2.2806,10.0,0.9974,9.9763,8726,Accept (Oral),ICLR 2025 Oral,iclr-2025-dataset,scaling-and-evaluating-sparse-autoencoders
u1cQYxRI1H,Scaling In-the-Wild Training for Diffusion-based Illumination Harmonization and Editing by Imposing Consistent Light Transport,iclr2025,iclr-2025-dataset/papers-anonymized/scaling-in-the-wild-training-for-diffusion-based-illuminatio_anon.pdf,accept,Accept (Oral),10.0,3.7873,10.0,1.0,10.0,8726,Accept (Oral),ICLR 2025 Oral,iclr-2025-dataset,scaling-in-the-wild-training-for-diffusion-based-illuminatio
r5yolhcrHe,SeMv-3D: Towards Semantic and Mutil-view Consistency simultaneously for General Text-to-3D Generation with Triplane Priors,iclr2025,iclr-2025-dataset/papers-anonymized/semv-3d-towards-semantic-and-mutil-view-consistency-simultan_anon.pdf,reject,Reject,4.9091,-0.474,4.4335,0.299,3.6907,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,semv-3d-towards-semantic-and-mutil-view-consistency-simultan
LyJi5ugyJx,"Simplifying, Stabilizing and Scaling Continuous-time Consistency Models",iclr2025,iclr-2025-dataset/papers-anonymized/simplifying-stabilizing-and-scaling-continuous-time-consiste_anon.pdf,accept,Accept (Oral),9.3,3.2014,10.0,0.9998,9.9979,8726,Accept (Oral),ICLR 2025 Oral,iclr-2025-dataset,simplifying-stabilizing-and-scaling-continuous-time-consiste
tTOo7r4G9j,SpaLLM: Unified Compressive Adaptation of Large Language Models with Sketching,iclr2025,iclr-2025-dataset/papers-anonymized/spallm-unified-compressive-adaptation-of-large-language-mode_anon.pdf,reject,Reject,3.75,-1.4442,2.2505,0.0903,1.8128,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,spallm-unified-compressive-adaptation-of-large-language-mode
hMjUnF3aQ8,SQT -- rough conservative actor critic,iclr2025,iclr-2025-dataset/papers-anonymized/sqt-rough-conservative-actor-critic_anon.pdf,reject,Reject,1.8,-3.0765,1.0,0.0017,1.0155,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,sqt-rough-conservative-actor-critic
Pu3c0209cx,Tight Clusters Make Specialized Experts,iclr2025,iclr-2025-dataset/papers-anonymized/tight-clusters-make-specialized-experts_anon.pdf,accept,Accept (Poster),7.0909,1.3523,8.5426,0.9292,9.3625,8726,Accept (Poster),ICLR 2025 Poster,iclr-2025-dataset,tight-clusters-make-specialized-experts
SrGP0ILoYa,TopER: Topological Embeddings in Graph Representation Learning,iclr2025,iclr-2025-dataset/papers-anonymized/toper-topological-embeddings-in-graph-representation-learnin_anon.pdf,reject,Reject,6.2857,0.6783,7.0261,0.7433,7.6894,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,toper-topological-embeddings-in-graph-representation-learnin
uAFHCZRmXk,"Two Effects, One Trigger: On the Modality Gap, Object Bias, and Information Imbalance in Contrastive Vision-Language Models",iclr2025,iclr-2025-dataset/papers-anonymized/two-effects-one-trigger-on-the-modality-gap-object-bias-and_anon.pdf,accept,Accept (Oral),8.0,2.1132,10.0,0.9903,9.9123,8726,Accept (Oral),ICLR 2025 Oral,iclr-2025-dataset,two-effects-one-trigger-on-the-modality-gap-object-bias-and
gc8QAQfXv6,Unlocking the Power of Function Vectors for Characterizing and Mitigating Catastrophic Forgetting in Continual Instruction Tuning,iclr2025,iclr-2025-dataset/papers-anonymized/unlocking-the-power-of-function-vectors-for-characterizing-a_anon.pdf,accept,Accept (Oral),9.0,2.9503,10.0,0.9991,9.9923,8726,Accept (Oral),ICLR 2025 Oral,iclr-2025-dataset,unlocking-the-power-of-function-vectors-for-characterizing-a
f7KxfUrRSb,Weak-to-Strong Preference Optimization: Stealing Reward from Weak Aligned Model,iclr2025,iclr-2025-dataset/papers-anonymized/weak-to-strong-preference-optimization-stealing-reward-from_anon.pdf,accept,Accept (Spotlight),7.0625,1.3285,8.4891,0.9197,9.2769,8726,Accept (Spotlight),ICLR 2025 Spotlight,iclr-2025-dataset,weak-to-strong-preference-optimization-stealing-reward-from
BgYbk6ZmeX,What Matters When Repurposing Diffusion Models for General Dense Perception Tasks?,iclr2025,iclr-2025-dataset/papers-anonymized/what-matters-when-repurposing-diffusion-models-for-general-d_anon.pdf,accept,Accept (Poster),6.0,0.4391,6.4881,0.6505,6.8544,8726,Accept (Poster),ICLR 2025 Poster,iclr-2025-dataset,what-matters-when-repurposing-diffusion-models-for-general-d
BW8O4wHgbo,Why Solving Multi-agent Path Finding with Large Language Models has not Succeeded Yet,iclr2025,iclr-2025-dataset/papers-anonymized/why-solving-multi-agent-path-finding-with-large-language-mod_anon.pdf,reject,Reject,3.0,-2.072,1.0,0.0272,1.2445,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,why-solving-multi-agent-path-finding-with-large-language-mod
dgb4rfPzaw,World-simulation as pre-training for scalable perception,iclr2025,iclr-2025-dataset/papers-anonymized/world-simulation-as-pre-training-for-scalable-perception_anon.pdf,reject,Reject,5.0,-0.3979,4.6047,0.326,3.9336,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,world-simulation-as-pre-training-for-scalable-perception
3Qo2SRcHgU,AdaDetectGPT: Adaptive Detection of LLM-Generated Text with Statistical Guarantees,neurips2025,neurips-2025-dataset-v2/papers-anonymized/adadetectgpt-adaptive-detection-of-llm-generated-text-with-s_anon.pdf,accept,Accept (poster),4.5385,0.5473,6.7314,0.7377,7.6391,5540,Accept (poster),NeurIPS 2025 poster,neurips-2025-dataset-v2,adadetectgpt-adaptive-detection-of-llm-generated-text-with-s
d6UV0UNgn9,Affine-Invariant Global Non-Asymptotic Convergence Analysis of BFGS under Self-Concordance,neurips2025,neurips-2025-dataset-v2/papers-anonymized/affine-invariant-global-non-asymptotic-convergence-analysis_anon.pdf,accept,Accept (spotlight),5.5625,2.9862,10.0,0.9994,9.9943,5540,Accept (spotlight),NeurIPS 2025 spotlight,neurips-2025-dataset-v2,affine-invariant-global-non-asymptotic-convergence-analysis
50vDcRUz5p,Afterimages: Their neural substrates and their role as short-term memory in the human brain’s computation.,neurips2025,neurips-2025-dataset-v2/papers-anonymized/afterimages-their-neural-substrates-and-their-role-as-short_anon.pdf,reject,Reject,1.875,-5.7966,1.0,0.0014,1.013,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,afterimages-their-neural-substrates-and-their-role-as-short
XP3v1THxsq,Among Us: A Sandbox for Measuring and Detecting Agentic Deception,neurips2025,neurips-2025-dataset-v2/papers-anonymized/among-us-a-sandbox-for-measuring-and-detecting-agentic-decep_anon.pdf,accept,Accept (spotlight),5.0,1.6465,9.2046,0.9566,9.6092,5540,Accept (spotlight),NeurIPS 2025 spotlight,neurips-2025-dataset-v2,among-us-a-sandbox-for-measuring-and-detecting-agentic-decep
hTbimOuFPM,An efficient implementation for solving the all pairs minimax path problem in an undirected dense graph,neurips2025,neurips-2025-dataset-v2/papers-anonymized/an-efficient-implementation-for-solving-the-all-pairs-minima_anon.pdf,reject,Reject,1.1739,-7.4665,1.0,0.0,1.0,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,an-efficient-implementation-for-solving-the-all-pairs-minima
BJBje1IHI9,Aya Vision: Advancing the Frontier of Multilingual Multimodality,neurips2025,neurips-2025-dataset-v2/papers-anonymized/aya-vision-advancing-the-frontier-of-multilingual-multimodal_anon.pdf,reject,Reject,5.2143,2.1569,10.0,0.9887,9.8984,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,aya-vision-advancing-the-frontier-of-multilingual-multimodal
cEd00CXWE5,Beyond Two-Stage Training: Integrating SFT and RL for Improved Reasoning in LLMs,neurips2025,neurips-2025-dataset-v2/papers-anonymized/beyond-two-stage-training-integrating-sft-and-rl-for-improve_anon.pdf,reject,Reject,4.1667,-0.3383,4.7389,0.3238,3.9142,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,beyond-two-stage-training-integrating-sft-and-rl-for-improve
nG45z7lJ7D,Bipolar Self-attention for Spiking Transformers,neurips2025,neurips-2025-dataset-v2/papers-anonymized/bipolar-self-attention-for-spiking-transformers_anon.pdf,accept,Accept (spotlight),4.8235,1.2261,8.2587,0.9151,9.2355,5540,Accept (spotlight),NeurIPS 2025 spotlight,neurips-2025-dataset-v2,bipolar-self-attention-for-spiking-transformers
eR8raBLZW7,BriLLM: Brain-inspired Large Language Model,neurips2025,neurips-2025-dataset-v2/papers-anonymized/brillm-brain-inspired-large-language-model_anon.pdf,reject,Reject,1.4706,-6.7598,1.0,0.0007,1.0065,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,brillm-brain-inspired-large-language-model
AJAEHgM8lc,Conditional Gradient Methods with Standard LMO for Stochastic Simple Bilevel Optimization,neurips2025,neurips-2025-dataset-v2/papers-anonymized/conditional-gradient-methods-with-standard-lmo-for-stochasti_anon.pdf,accept,Accept (poster),3.4444,-2.0586,1.0,0.0215,1.1934,5540,Accept (poster),NeurIPS 2025 poster,neurips-2025-dataset-v2,conditional-gradient-methods-with-standard-lmo-for-stochasti
Xm57IXqU0n,Contextual Integrity in LLMs via Reasoning and Reinforcement Learning,neurips2025,neurips-2025-dataset-v2/papers-anonymized/contextual-integrity-in-llms-via-reasoning-and-reinforcement_anon.pdf,accept,Accept (poster),4.8,1.1701,8.1328,0.9024,9.1218,5540,Accept (poster),NeurIPS 2025 poster,neurips-2025-dataset-v2,contextual-integrity-in-llms-via-reasoning-and-reinforcement
VyjFOO9cFi,"Convergence of Clipped SGD on Convex $(L_0,L_1)$-Smooth Functions",neurips2025,neurips-2025-dataset-v2/papers-anonymized/convergence-of-clipped-sgd-on-convex-l-0-l-1-smooth-function_anon.pdf,accept,Accept (poster),2.7143,-3.7976,1.0,0.006,1.0536,5540,Accept (poster),NeurIPS 2025 poster,neurips-2025-dataset-v2,convergence-of-clipped-sgd-on-convex-l-0-l-1-smooth-function
z8rQHF8OOt,CoSimGen: Controllable diffusion model for simultaneous image and segmentation mask generation,neurips2025,neurips-2025-dataset-v2/papers-anonymized/cosimgen-controllable-diffusion-model-for-simultaneous-image_anon.pdf,reject,Reject,2.1667,-5.1018,1.0,0.0021,1.0187,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,cosimgen-controllable-diffusion-model-for-simultaneous-image
d4mZyZB5I9,Efficient Training-Free Online Routing for High-Volume Multi-LLM Serving,neurips2025,neurips-2025-dataset-v2/papers-anonymized/efficient-training-free-online-routing-for-high-volume-multi_anon.pdf,accept,Accept (poster),3.7692,-1.285,2.6087,0.0795,1.7157,5540,Accept (poster),NeurIPS 2025 poster,neurips-2025-dataset-v2,efficient-training-free-online-routing-for-high-volume-multi
yT8hGWqoBm,Enforcing boundary conditions for physics-informed neural operators,neurips2025,neurips-2025-dataset-v2/papers-anonymized/enforcing-boundary-conditions-for-physics-informed-neural-op_anon.pdf,reject,Reject,2.6875,-3.8614,1.0,0.0054,1.0487,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,enforcing-boundary-conditions-for-physics-informed-neural-op
tESKKiKhVp,Evolutionary Distributed Training,neurips2025,neurips-2025-dataset-v2/papers-anonymized/evolutionary-distributed-training_anon.pdf,reject,Reject,1.6875,-6.2432,1.0,0.0011,1.0097,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,evolutionary-distributed-training
1rUj9ZN6Bz,FlexOLMo: Open Language Models for Flexible Data Use,neurips2025,neurips-2025-dataset-v2/papers-anonymized/flexolmo-open-language-models-for-flexible-data-use_anon.pdf,accept,Accept (spotlight),5.5294,2.9074,10.0,0.9989,9.9903,5540,Accept (spotlight),NeurIPS 2025 spotlight,neurips-2025-dataset-v2,flexolmo-open-language-models-for-flexible-data-use
bFlE9AyEJY,"From Attention to Atoms: Spectral Dictionary Learning for Fast, Interpretable Language Models}",neurips2025,neurips-2025-dataset-v2/papers-anonymized/from-attention-to-atoms-spectral-dictionary-learning-for-fas_anon.pdf,reject,Reject,2.25,-4.9034,1.0,0.0024,1.0219,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,from-attention-to-atoms-spectral-dictionary-learning-for-fas
cNMYAzhdn5,Geometry-Aware Edge Pooling for Graph Neural Networks,neurips2025,neurips-2025-dataset-v2/papers-anonymized/geometry-aware-edge-pooling-for-graph-neural-networks_anon.pdf,accept,Accept (poster),4.2143,-0.2249,4.994,0.3702,4.3317,5540,Accept (poster),NeurIPS 2025 poster,neurips-2025-dataset-v2,geometry-aware-edge-pooling-for-graph-neural-networks
8WP2NgiRUV,Higher-Order Causal Structure Learning with Additive Models,neurips2025,neurips-2025-dataset-v2/papers-anonymized/higher-order-causal-structure-learning-with-additive-models_anon.pdf,reject,Reject,3.0,-3.1171,1.0,0.0085,1.0764,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,higher-order-causal-structure-learning-with-additive-models
i5WnXNjwbR,ImageNet-trained CNNs are not biased towards texture: Revisiting feature reliance through controlled suppression,neurips2025,neurips-2025-dataset-v2/papers-anonymized/imagenet-trained-cnns-are-not-biased-towards-texture-revisit_anon.pdf,accept,Accept (oral),5.3077,2.3794,10.0,0.9957,9.961,5540,Accept (oral),NeurIPS 2025 oral,neurips-2025-dataset-v2,imagenet-trained-cnns-are-not-biased-towards-texture-revisit
uAeqQePu4c,KORGym: A Dynamic Game Platform for LLM Reasoning Evaluation,neurips2025,neurips-2025-dataset-v2/papers-anonymized/korgym-a-dynamic-game-platform-for-llm-reasoning-evaluation_anon.pdf,accept,Accept (spotlight),5.5882,3.0474,10.0,0.9996,9.9968,5540,Accept (spotlight),NeurIPS 2025 spotlight,neurips-2025-dataset-v2,korgym-a-dynamic-game-platform-for-llm-reasoning-evaluation
d4CZoiaXeC,Learning to Factorize Spatio-Temporal Foundation Models,neurips2025,neurips-2025-dataset-v2/papers-anonymized/learning-to-factorize-spatio-temporal-foundation-models_anon.pdf,accept,Accept (spotlight),5.0,1.6465,9.2046,0.9566,9.6092,5540,Accept (spotlight),NeurIPS 2025 spotlight,neurips-2025-dataset-v2,learning-to-factorize-spatio-temporal-foundation-models
